ZDB-FISH-000215-8,Necrotic death in head. There are several other phenotypes that cosegregate but are unmapped.
ZDB-FISH-040929-1,day 1: pinched midbrain/hindbrain boundary} a little of cns necrosis; day 2: small head and eyes} inflated hindbrain ventricle} thin body} rounder yolk with thin extension; day 5: small head and eyes} thin or necrotic body} round grey yolk} underdeveloped liver/gut
ZDB-FISH-040929-2,day 1: pinched midbrain/hindbrain boundary} a bit of cns necrosis} head flatter; day 2: a bit smaller head/eyes} some necrosis; day 5: small head/eyes} thin necrotic body} underdeveloped guts} pc edema; sometimes dead by day 5
ZDB-FISH-040929-3,day 1: thin and pinched midbrain/hindbrain boundary} smaller eyes; day 2: small head and eyes} hindbrain ventricle mildly inflated; day 3: small head and eyes} round grey yolk} thin body; day 5: small head and eyes} some pericardial edema} underdeveloped liver/gut} round yolk} variably small body (some thin and/or short and/or bent} near death} others straighter and closer to wt width)
ZDB-FISH-040929-4,day 1: slightly smaller eyes} thin midbrain/hindbrain boundary; day 2 small head and eyes} inflated hindbrain ventricle} round grey yolk with thin yolk extension} less pigment; day 3-5 body becomes progressively necrotic and usually dies by day 5
ZDB-FISH-040929-5,day 5: smaller and rounder head} jaws don't extend anterior of eyes} sometimes some edema (pericardial and/or around head/eyes)
ZDB-FISH-040929-6,early day 1: cns necrosis} flat head; late day 1: less cns necrosis} thin midbrain/hindbrain boundary; day 2: smaller head and eyes} thin body} grey round yolk with thin extension; most dead by day 5
ZDB-FISH-040929-7,day 2: no pigment} slightly smaller head and eyes; day 5: still no pigment} a little cns necrosis} slightly smaller head} eyes} and ears} a little pericardial edema} underdeveloped liver/gut
ZDB-FISH-040930-1,day 5: narrow head} smaller eyes} slightly underdeveloped gut} sometimes trunk curved a bit ventrally
ZDB-FISH-040930-10,day 2: slightly smaller head and eye; day 5: small head and eyes} underdeveloped liver/gut} a little pericardial edema
ZDB-FISH-040930-11,day 2: slightly smaller head and eye; day 5: small head and eyes} underdeveloped liver/gut} a little pericardial edema
ZDB-FISH-040930-12,Reduced pharyngeal cartilage} reduced first pouch. Segregation: 50%
ZDB-FISH-040930-2,day 2: body bent ventrally; days 3-4} cns necrosis} small head and eyes} pericardial edema} body stays ventrally curved} kidney cyst develops; day 5: kidney cyst larger; necrosis begins to spread through body
ZDB-FISH-040930-3,day 2: cns necrosis} round grey yolk; days 3-5 progressively necrotic through body} usually dead day 4 or 5
ZDB-FISH-040930-4,day 1: pinched midbrain/hindbrain boundary} a little cns necrosis; day 2: small head and eyes} inflated hindbrain ventricle} thin body} rounder yolk with thin extension; day 5: often dead} if not: very small head and eyes} underdeveloped liver/gut} round grey yolk} thin wasting body} pericardial edema
ZDB-FISH-040930-5,day 1: severe cns and body necrosis; day 2: almost completely necrotic; day 3: dead
ZDB-FISH-040930-6,day 2: mild cns necrosis; day 3: small head and eyes} round yolk; day 5: small head and eyes} pericardial edema} underdeveloped liver/gut
ZDB-FISH-040930-7,day 2: no pigment; day 3: no body pigment} small head and eyes; day 5: very little body pigment} small eyes} misshapen head} underdeveloped liver/gut
ZDB-FISH-040930-8,day 1: cns necrosis; day 2: severe cns necrosis} small head/eyes} round grey yolk with thin extension} thin and sometimes dorsally bent body; days 3-5: increasingly necrotic} usually dead by day 5
ZDB-FISH-040930-9,day 1: pinched midbrain/hindbrain boundary} a bit of cns necrosis} head flatter; day 2: small head and eyes; day 5: small head and eyes} slightly underdeveloped gut
ZDB-FISH-041001-1,day 2: slightly smaller head and eyes with inflated hindbrain ventricle} rounder yolk with thin extension} thin body and less pigment (like delay); day 3: small head and eyes} thin body} round grey yolk with thin extension; days 4-5 progressively more necrotic head and thin/wasting body} develops pericardial edema} nearly dead by day 5
ZDB-FISH-041001-10,day 1: slightly pinched midbrain/hindbrain boundary} inflated hindbrain ventricle; day 5: slightly small head and eyes} underdeveloped liver/gut} sometimes a little of pc edema
ZDB-FISH-041001-11,day 5: slightly narrower head and eyes} slightly underdeveloped liver/gut; some mutants do inflate swim bladder
ZDB-FISH-041001-12,days 4-5: smaller head and eyes } a bit of pericardial edema} underdeveloped liver/gut
ZDB-FISH-041001-13,day 1: cns necrosis} slightly flat head; day 2: very small head and eye} thin body} pale} pericardial edema denting yolk} thin yolk extension; day 5: very small head and eyes} pericardial edema} thin/wasted body} often dead
ZDB-FISH-041001-14,day 5: smaller and rounder head with thick jaw} a bit of pericardial edema} variably swollen yolk} underdeveloped liver/gut} sometimes slightly necrotic body
ZDB-FISH-041001-2,day 3: small and slightly necrotic head and eyes; day 5: small head and eyes} round grey yolk} underdeveloped liver/gut} sometimes with a lot of pericardial edema} sometimes not
ZDB-FISH-041001-3,day 1: cns necrosis} slightly flat head; day 2 very bad necrosis in head} round grey yolk with thin extension} body curved up; most dead by day 5
ZDB-FISH-041001-4,day 2: trunk bent ventrally; day 5: body kinked over yolk and trunk bent ventrally} underdeveloped gut
ZDB-FISH-041001-5,day 4: cns necrosis begins} with swollen yolk and pericardial edema; day 5; lots of necrosis/degeneration throughout body
ZDB-FISH-041001-6,day 1: a little cns necrosis; day 2: slightly smaller head and eyes} round grey yolk with thin extension; day 5: small head and eyes} underdeveloped liver/gut} sometimes a little pc edema
ZDB-FISH-041001-7,day 1: may see pinched midbrain/hindbrain boundary} a bit of cns necrosis; day 2: cns necrosis} round grey yolk with thin extension; day 5: small head/eyes & underdeveloped guts
ZDB-FISH-041001-8,day 1: cns necrosis} slightly flat head; day 2: very small head and eye with a lot of necrosis} pericardial edema denting yolk} grey yolk; dead by day 5
ZDB-FISH-041001-9,day 1: cns necrosis; day 2: cns necrosis} smaller head and eyes; days 3-5: increasingly necrotic and small head} body increasingly thin and wasting
ZDB-FISH-041005-1,day 2: slightly smaller head and eye; day 5: very small head and eyes} pericardial edema with grey swollen yolk} underdeveloped liver/gut} sometimes slightly necrotic body
ZDB-FISH-041005-2,day 3: slightly smaller head and eye; day 5: small head and eyes} a bit of pericardial edema with grey swollen yolk} underdeveloped liver/gut
ZDB-FISH-041005-3,day 3: slightly smaller head and eye; day 5: small head and eyes} a bit of pericardial edema with grey swollen yolk} underdeveloped liver/gut
ZDB-FISH-041006-1,d1: arrest during epiboly} never really becomes fish-shaped
ZDB-FISH-041006-2,day 3: slightly smaller head and eye; day 5: slightly small head and eyes} slightly underdeveloped gut
ZDB-FISH-041006-3,day 4: smaller head and eyes} a bit of pericardial edema; day 5: small head and eyes} pericardial edema with grey swollen yolk} underdeveloped liver/gut} sometimes necrosis in body
ZDB-FISH-041006-4,day 1: cns necrosis; day 2 worse necrosis; day 5: quite necrotic} very small head and eyes} pericardial edema} thin and degrading body} sometimes dead
ZDB-FISH-041007-1,day 1: short body with wavy notochord and slightly flat head} brain folds are irregular; day 2: really sick looking} very short body} head a bit swollen} a little pericardial edema; day 5: often dead} otherwise} almost no trunk} small eyes} reduced jaw} pericardial edema which may also be over head (note: more severe than hi1193} hi3890} hi4131)
ZDB-FISH-041007-10,day 1: pinched midbrain/hindbrain boundary} a little cns necrosis; day 2: small head and eyes} inflated hindbrain ventricle} thin body} rounder yolk with thin extension; day 5: small head and eyes} thin body} underdeveloped liver/gut} round grey yolk 
ZDB-FISH-041007-11,day 2: slightly smaller head and eye} rounder yolk with thin extension} slightly thinner body; day 3: small head and eye} round grey yolk; day 5: very small head and eyes} pericardial edema} round grey yolk} underdeveloped liver/gut} sometimes slightly necrotic body
ZDB-FISH-041007-12,day 1: cns necrosis} flat head; day 2 very bad necrosis (probably dead by day 5)
ZDB-FISH-041007-13,day 1: cns necrosis} flat head; day 2 very bad necrosis (probably dead by day 5)
ZDB-FISH-041007-2,day 1: slightly (and variably) short body with wavy notochord and slightly flat head} brain folds are irregular; day 2-5: body short and bent dorsally (this allele less severe than hi2557} though more severe} or more consistent} than hi1193)
ZDB-FISH-041007-3,day 1: slightly (and variably) short body with wavy notochord and slightly flat head} brain folds are irregular; day 2-5: body short and bent dorsally (this allele far less severe than hi2557)
ZDB-FISH-041007-4,day 1: slightly (and variably) short body with wavy notochord and slightly flat head} brain folds are irregular; day 2-5: body short and bent dorsally (this allele less severe than hi2557} though more severe} or more consistent} than hi1193)
ZDB-FISH-041007-5,day 1: cns necrosis; day 2 worse necrosis (probably dead by day 5)
ZDB-FISH-041007-6,day 1: cns necrosis; day 2: small head and eyes} bubble brain} round yolk with thin extension; day 3 small head and eyes} round grey yolk} thin body} often bent down; day 5: small head and eyes} swollen unconsumed yolk} some pc edema} thin body & underdeveloped guts
ZDB-FISH-041007-7,day 3: slightly smaller head and eyes; day 5: small head and eyes} underdeveloped liver/gut} pericardial edema
ZDB-FISH-041007-8,day 3: slightly smaller head and eyes; day 5: small head and eyes} a little pericardial edema} underdeveloped liver/gut} sometimes some degeneration in body
ZDB-FISH-041007-9,day 1: pinched midbrain/hindbrain boundary} a little cns necrosis; day 2: small head and eyes} inflated hindbrain ventricle} thin body} rounder yolk with thin extension; day 5: small head and eyes} thin body} underdeveloped liver/gut} round grey yolk 
ZDB-FISH-041008-1,day 1: cns necrosis} flat head; day 2 very bad necrosis; usually dead by day 5
ZDB-FISH-041008-2,day 3: slightly smaller head and eyes; day 5: narrow/pointy head} small eyes} underdeveloped liver/gut
ZDB-FISH-041008-3,day 5: smaller and rounder head} variably smaller eyes} underdeveloped gut} sometimes a little pericardial edema
ZDB-FISH-041008-4,day 1: brain folds a bit unusual} ventricles not well inflated} a little cns necrosis} eyes misshapen (not closed ventrally); day 2: smaller} bumpy head} thinner and sometimes bent body with round yolk} thin extension; day 5: often dead} if not: much smaller head and eyes} thin} bent} degenerating body
ZDB-FISH-041011-1,d1: flat head (underinflated brain ventricles); d2: slightly smaller and bumpy head with irregular brain folds} pericardial edema} sometimes with pooling blood} trunk/tail sometimes wavy and/or necrotic d3-5: progressive necrosis in the body} often dead by day 5} if not: necrotic} bloated} edema (pericardial and over yolk and/or head)
ZDB-FISH-041011-2,day 3: slightly smaller head and eyes; day 5: small head and eyes} underdeveloped liver/gut} pericardial edema
ZDB-FISH-041011-3,day 1: cns necrosis} flat head; day 2 very bad necrosis (probably dead by day 5)
ZDB-FISH-041011-4,day 1: cns necrosis} flat head; day 2 very bad necrosis (probably dead by day 5)
ZDB-FISH-041011-5,day 1: cns necrosis} flat head; day 2 very bad necrosis (probably dead by day 5)
ZDB-FISH-041011-6,day 1: cns necrosis} flat head; day 2 very bad necrosis (probably dead by day 5)
ZDB-FISH-041026-1,days 4-5: smaller head and eyes} a bit of pericardial edema} underdeveloped liver/gut
ZDB-FISH-041026-2,day 2: sometimes a little pericardial edema} denting into yolk} no fin buds; day 3} slightly smaller head and eyes} no pectoral fins; day 5: a small head and eyes} a bit of pericardial edema} no pectoral fins
ZDB-FISH-041026-3,day 2: sometimes a little pericardial edema} denting into yolk} no fin buds; day 3} slightly smaller head and eyes} no pectoral fins; day 5: a small head and eyes} a bit of pericardial edema} no pectoral fins
ZDB-FISH-041027-1,days 4-5: A bit of cns necrosis} small head/eye} a bit of pericardial edema} slightly underdeveloped gut
ZDB-FISH-041027-2,day 2: cns necrosis} body maybe bent up; day 5: small and possibly necrotic head and eyes} pericardial edema (can also be over head)} underdeveloped liver/guts} thin and bent/necrotic body; note: hi2704 is more severe than hi1411
ZDB-FISH-041105-1,Recessive} embryonic lethal.
ZDB-FISH-050126-3,<em>nbe</em> causes retinal degeneration.
ZDB-FISH-050126-4,<em>nbf</em> causes retinal degeneration.
ZDB-FISH-050126-5,<em>nbg</em> causes retinal degeneration.
ZDB-FISH-050216-1,Mendelian recessive.
ZDB-FISH-050225-1,Mendelian dominant.
ZDB-FISH-050323-1,Mendelian recessive.
ZDB-FISH-050323-2,Mendelian recessive.
ZDB-FISH-050323-3,Mendelian recessive.
ZDB-FISH-050503-1,Mendelian dominant.
ZDB-FISH-050805-1,day 4-5: somewhat variable small head and eyes} underdeveloped liver and gut} can have wavy or bent up body} very rarely can have inflated swim bladder
ZDB-FISH-050805-2,day 1: severe cns and body necrosis; day 2: almost completely necrotic; usually dead by day 3
ZDB-FISH-050805-3,d1: cns necrosis
ZDB-FISH-050805-4,day 2-3: less and lighter and browner body pigment; day 5 still less pigment} body often curled dorsally} very rarely can have inflated swim bladder
ZDB-FISH-050809-1,day 4-5: small head and eye} a bit of pericardial edema} underdeveloped liver and gut
ZDB-FISH-050809-2,day 2 - almost no body pigment} less eye pigment as well; day 3 and on: progressively worse necrosis and body degeneration
ZDB-FISH-050809-3,day 4-5: small head and eye} a bit of pericardial edema} underdeveloped liver and gut
ZDB-FISH-050809-4,day 4: slightly smaller eyes; smaller} rounder} and slightly necrotic head; a bit of pericardial edema; day 5: more necrosis in head} small head and eyes} edema around heart as well as yolk and head
ZDB-FISH-050809-5,day 4-5: smaller head and eyes with thick (ventrally) jaw} slight pericardial edema} underdeveloped liver and gut
ZDB-FISH-050809-6,day 4-5: a bit smaller head and eyes} slight pericardial edema} underdeveloped liver and gut
ZDB-FISH-050809-7,day 2: pericardial edema} thin and stretched heart; day 3: heart worse} edema encompasses jaw area
ZDB-FISH-050809-8,day 4-5: small head and eye} underdeveloped liver and gut} very rarely can have inflated swim bladder
ZDB-FISH-050809-9,day 3: spotty pigment in eyes (RPE); day 5: head and eyes are slightly smaller
ZDB-FISH-051004-1,Mendelian dominant.
ZDB-FISH-051102-1,Mendelian recessive.
ZDB-FISH-051102-2,Mendelian recessive.
ZDB-FISH-051102-3,Mendelian recessive.
ZDB-FISH-051102-4,Mendelian recessive.
ZDB-FISH-060125-1,Phenotypes described for <em>tor<sup>b644</sup></em> mutants were present in the ratios expected for Mendelian inheritance of a recessive mutation (Dill and Amacher} 2005).
ZDB-FISH-970730-2,Phenotypic class: notochord} somites; Visible at: tailbud; Viability: embryonic lethal (swb-). Segregation: .25
ZDB-FISH-970731-32,Phenotypic class: notochord} somites; Visible at: tailbud; Viability: embryonic lethal (swb-). Segregation: .25
ZDB-FISH-970801-17,Phenotypic class: melanophores; Visible at: d1; Viability: adult viable
ZDB-FISH-980202-1000,Phenotypic class: melanophores} iridophores; Visible at: d1; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1001,Phenotypic class: arches} fin} retinotectal pathfinding; Visible at: d5; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1002,Phenotypic class: tail; Visible at: tailbud; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1003,Phenotypic class: curly tail; Visible at: d2; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1004,Phenotypic class: xanthophores} iridophores} eyes; Visible at: d2; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1005,Phenotypic class: melanophores} xanthophores; Visible at: d2; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1006,Phenotypic class: heart; Visible at: d1; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1007,Phenotypic class: early necrosis; Visible at: 12-somite; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1008,Phenotypic class: iridophores} melanophores; Visible at: d1; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1009,Phenotypic class: iridophores} ; Visible at: d2; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-101,Phenotypic class: melanophores; Visible at: d1; Viability: adult viable
ZDB-FISH-980202-1010,Phenotypic class: xanthophores; Visible at: d3; Viability: adult viable
ZDB-FISH-980202-1011,Phenotypic class: neural tube} somites; Visible at: 20-somite; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1012,Phenotypic class: motility; Visible at: d3; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1013,Phenotypic class: eye} lens; Visible at: d4; Viability: adult viable
ZDB-FISH-980202-1014,Phenotypic class: melanophores} xanthophores} iridophores; Visible at: d1; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1015,Phenotypic class: xanthophores} melanophores} iridophores} ear; Visible at: d1; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1016,Phenotypic class: curly tail; Visible at: d2; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1017,Phenotypic class: fin; Visible at: d1; Viability: adult viable
ZDB-FISH-980202-1018,Phenotypic class: curly tail; Visible at: d3; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1019,Phenotypic class: xanthophores} adult; Visible at: d2; Viability: adult viable
ZDB-FISH-980202-102,Phenotypic class: curly tail; Visible at: d1; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1020,Phenotypic class: body axes; Visible at: d2; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1021,Phenotypic class: body axes; Visible at: 10-somite; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1022,Phenotypic class: melanophores; Visible at: d1; Viability: adult semiviable
ZDB-FISH-980202-1023,Phenotypic class: heart; Visible at: d2; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1024,Phenotypic class: somites} motility; Visible at: d4; Viability: embryonic viable (swb+)
ZDB-FISH-980202-1025,Phenotypic class: blood; Visible at: d1; Viability: embryonic viable (swb+)
ZDB-FISH-980202-1026,Phenotypic class: brain; Visible at: d1; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1027,Phenotypic class: motility; Visible at: d3; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1028,Phenotypic class: neural tube} somites; Visible at: 20-somite; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1029,Phenotypic class: neural tube} brain} curly tail; Visible at: d1; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1030,Phenotypic class: arches; Visible at: d3; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1031,Phenotypic class: curly tail; Visible at: d1; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1032,Phenotypic class: motility; Visible at: d4; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1033,Phenotypic class: heart; Visible at: d2; Viability: adult viable
ZDB-FISH-980202-1034,Phenotypic class: iridophores; Visible at: d3; Viability: adult viable
ZDB-FISH-980202-1035,Phenotypic class: motility; Visible at: d2; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1036,Phenotypic class: curly tail; Visible at: d1; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1037,Phenotypic class: brain} eye; Visible at: tailbud; Viability: adult semiviable
ZDB-FISH-980202-1038,Phenotypic class: heart; Visible at: d1; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1039,Phenotypic class: curly tail} body shape; Visible at: d2; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1040,Phenotypic class: notochord} brain; Visible at: 15-somite; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1041,Phenotypic class: motility} heart; Visible at: d2; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1042,Phenotypic class: motility; Visible at: 20-somite; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1043,Phenotypic class: body axes; Visible at: tailbud; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1044,Phenotypic class: notochord; Visible at: d1; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1045,Phenotypic class: motility; Visible at: 20-somite; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1046,Phenotypic class: motility; Visible at: d4; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1047,Phenotypic class: motility; Visible at: d4; Viability: adult semiviable
ZDB-FISH-980202-1048,Phenotypic class: somites; Visible at: 2-somite; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1049,Phenotypic class: melanophores} xanthophores; Visible at: d2; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-105,Phenotypic class: curly tail; Visible at: d1; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1050,Phenotypic class: melanophores; Visible at: d2; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1051,Phenotypic class: pigment pattern; Visible at: d1; Viability: adult viable
ZDB-FISH-980202-1052,Phenotypic class: pigment pattern; Visible at: d1; Viability: embryonic viable (swb+)
ZDB-FISH-980202-1053,Phenotypic class: early necrosis; Visible at: 15-somite; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1054,Phenotypic class: early necrosis; Visible at: epiboly; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1055,Phenotypic class: neural tube; Visible at: d5; Viability: adult semiviable
ZDB-FISH-980202-1056,Phenotypic class: curly tail; Visible at: d1; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1057,Phenotypic class: melanophores; Visible at: d1; Viability: adult viable
ZDB-FISH-980202-1058,Phenotypic class: motility; Visible at: d4; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1059,Phenotypic class: ear; Visible at: d1. 
ZDB-FISH-980202-1060,Phenotypic class: notochord; Visible at: d1; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1061,Phenotypic class: melanophores} iridophores} xanthophores; Visible at: d2; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1062,Phenotypic class: heart; Visible at: d2; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1063,Phenotypic class: gut; Visible at: d5; Viability: embryonic viable (swb+)
ZDB-FISH-980202-1064,Phenotypic class: xanthophores} retinotectal projection; Visible at: d3; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1065,Phenotypic class: arches; Visible at: d3; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1066,Phenotypic class: melanophores; Visible at: d5; Viability: adult semiviable
ZDB-FISH-980202-1067,Phenotypic class: blood; Visible at: d1; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1068,Phenotypic class: arches; Visible at: d3; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1069,Phenotypic class: eye; Visible at: d4; Viability: adult viable
ZDB-FISH-980202-1070,Phenotypic class: heart; Visible at: d1; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1071,Phenotypic class: body axes} dominant; Visible at: tailbud; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1072,Phenotypic class: heart; Visible at: d2; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1073,Phenotypic class: xanthophores} adult; Visible at: d3; Viability: adult semiviable
ZDB-FISH-980202-1074,Phenotypic class: motility; Visible at: d2; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1075,Phenotypic class: blood; Visible at: d3; Viability: adult viable
ZDB-FISH-980202-1076,Phenotypic class: pigment pattern; Visible at: d1; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1077,Phenotypic class: xanthophores; Visible at: d2; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1078,Phenotypic class: melanophores} xanthophores; Visible at: d1; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1079,Phenotypic class: liver; Visible at: d4; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-108,Phenotypic class: ear; Visible at: d2; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1080,Phenotypic class: blood; Visible at: d3; Viability: embryonic viable (swb+)
ZDB-FISH-980202-1081,Phenotypic class: xanthophores; Visible at: d2; Viability: adult viable
ZDB-FISH-980202-1082,Phenotypic class: heart; Visible at: d1; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1083,Phenotypic class: tail; Visible at: 15-somite; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1084,Phenotypic class: early arrest; Visible at: 20-somite; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1085,Phenotypic class: motility} muscles; Visible at: d2; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1086,Visible at: d1; Viability: adult semiviable
ZDB-FISH-980202-1087,Phenotypic class: motility; Visible at: d2; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1088,Phenotypic class: motility; Visible at: d4; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1089,Phenotypic class: somites; Visible at: d1; Viability: adult semiviable
ZDB-FISH-980202-109,Phenotypic class: curly tail; Visible at: d1; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1090,Phenotypic class: somites; Visible at: d1; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1091,Phenotypic class: body axes; Visible at: d1; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1092,Phenotypic class: Retinotectal pathfinding; Visible at: d2; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1093,Phenotypic class: melanophores; Visible at: d1; Viability: adult viable
ZDB-FISH-980202-1094,Phenotypic class: pigment pattern; Visible at: d3; Viability: embryonic viable (swb+)
ZDB-FISH-980202-1095,Phenotypic class: fin; Visible at: d2; Viability: adult viable
ZDB-FISH-980202-1096,Phenotypic class: ear; Visible at: d1; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1097,Phenotypic class: xanthophores} Iridophores; Visible at: d2; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1098,Phenotypic class: body axes; Visible at: d1; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1099,Phenotypic class: brain; Visible at: d1; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-110,Phenotypic class: curly tail; Visible at: d1; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1100,Phenotypic class: adult; Viability: adult viable
ZDB-FISH-980202-1101,Phenotypic class: melanophores} xanthophores} iridophores; Visible at: d2; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1102,Phenotypic class: motility; Visible at: d5; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1103,Phenotypic class: notochord; Visible at: d1; Viability: adult viable
ZDB-FISH-980202-1104,Phenotypic class: epiboly; Visible at: epiboly; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1105,Phenotypic class: xanthophores} melanophores} iridophores} ear; Visible at: d1; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1106,Phenotypic class: brain; Visible at: d1; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1107,Phenotypic class: brain} somites} pigment pattern; Visible at: 15-somite; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1108,Phenotypic class: brain; Visible at: d1; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1109,Phenotypic class: curly tail; Visible at: d1; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1110,Phenotypic class: xanthophores; Visible at: d2; Viability: adult viable
ZDB-FISH-980202-1111,Phenotypic class: pigment pattern; Visible at: d3; Viability: embryonic viable (swb+)
ZDB-FISH-980202-1112,Phenotypic class: xanthophores; Visible at: d3; Viability: adult viable
ZDB-FISH-980202-1113,Phenotypic class: xanthophores} iridophores} eyes; Visible at: d2; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1114,Phenotypic class: notochord; Visible at: d2; Viability: adult viable
ZDB-FISH-980202-1115,Phenotypic class: neural tube} somites; Visible at: 20-somite; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1116,Phenotypic class: brain; Visible at: d2; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1117,Phenotypic class: blood; Visible at: d2; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1118,Phenotypic class: early necrosis; Visible at: 5-somite; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1119,Phenotypic class: motility; Visible at: d1; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1120,Phenotypic class: motility; Visible at: d1; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1121,Phenotypic class: motility; Visible at: d1; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1122,Phenotypic class: motility; Visible at: d1; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1123,Phenotypic class: motility; Visible at: d1; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1124,Phenotypic class: motility; Visible at: d1; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1125,Phenotypic class: somites; Visible at: 10-somite; Viability: adult viable
ZDB-FISH-980202-1126,Phenotypic class: body axes; Visible at: d1; Viability: embryonic lethal (swb-)
