ZDB-FISH-060608-1,t30230,;Adult: behavior (abnormal); drug resistance (abnormal); ,,"Assay: Amphetamine<br>Description: <br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-960805-39"">Laure Bally-Cuif</a> / <a href=""ZFIN_jump?record=ZDB-PERS-020116-15"">Jovica Ninkovic</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-580,t30833,;Day 5: epidermis structure (abnormal); ,Skin appears to attach loosely to the rest of the body. A big blister just on the lower jaw in all the mutants. No heart oedema at this stage but just moderate peri-intestinal oedema. <b>Details:</b>,"Assay: Skin 1<br>Description: Skin appears to attach loosely to the rest of the body. A big blister just on the lower jaw in all the mutants. No heart oedema at this stage but just moderate peri-intestinal oedema.<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-001110-15"">Mahendra Sonawane</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-581,t30869,;Day 5: epidermis structure (abnormal); ,Skin blisters. Oedema around heart and gut. Cell accumulations in the fin fold. <b>Details:</b>,"Assay: Skin 1<br>Description: Skin blisters. Oedema around heart and gut. Cell accumulations in the fin fold.<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-001110-15"">Mahendra Sonawane</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-582,t30571,;High-pec: epidermis structure (abnormal); ,Skin detaches on the flanks. Larvae appear shorter or curled up. No fin fold formed. <b>Details:</b>,"Assay: Skin 1<br>Description: Skin detaches on the flanks. Larvae appear shorter or curled up. No fin fold formed.<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-001110-15"">Mahendra Sonawane</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-583,t30624,;Adult: scales shape (abnormal); ,"Skin/scale blistering\"";"" sloughing <b>Details:</b>","Assay: Dermal Bone<br>Description: Skin/scale blistering\"";"" sloughing<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-030612-10"">Matthew Harris</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-584,t30622,;Adult: scales angle (abnormal); ,Skin/scale. Scales look raised/elevated. <b>Details:</b>,"Assay: Dermal Bone<br>Description: Skin/scale. Scales look raised/elevated.<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-030612-10"">Matthew Harris</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-585,t30741,;Adult: cranial skeleton malformed (abnormal); ,skull coordinated shape change. Whole jaw extended dorsally such that mouth on surface. Some skin and scale problems seen. <b>Details:</b>,"Assay: Dermal Bone<br>Description: skull coordinated shape change. Whole jaw extended dorsally such that mouth on surface. Some skin and scale problems seen.<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-030612-10"">Matthew Harris</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-586,t30603,;Adult: cranial skeleton small size (abnormal); ,skull hypotrophy--mandible. Dwarfism. <b>Details:</b>,"Assay: Dermal Bone<br>Description: skull hypotrophy--mandible. Dwarfism.<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-030612-10"">Matthew Harris</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-587,t30838,;Adult: cranial skeleton size (abnormal); ,Skull is shorter and wider behind the eyes: seems that the frontal and parietal are wider. <b>Details:</b>,"Assay: Dermal Bone<br>Description: Skull is shorter and wider behind the eyes: seems that the frontal and parietal are wider.<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-030612-10"">Matthew Harris</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-588,t30864,;Adult: cranial skeleton size (abnormal); ,skull morphology change. Varying in intensity <b>Details:</b>,"Assay: Dermal Bone<br>Description: skull morphology change. Varying in intensity<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-030612-10"">Matthew Harris</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-589,t30737,;Adult: cranial skeleton shape (abnormal); ,skull shape and skin as separate mutations <b>Details:</b>,"Assay: Dermal Bone<br>Description: skull shape and skin as separate mutations<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-030612-10"">Matthew Harris</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-59,t30586,;visual behavior (abnormal); Day 5: visual behavior (abnormal/absent); ,2/10 -- no b-wave <b>Details:</b>,"Assay: Eye ERG<br>Description: 2/10 -- no b-wave<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-060328-1"">Valerie Fleisch</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-590,t30747,;Adult: cranial skeleton pattern (abnormal); ,skull shape change associated with skin as well <b>Details:</b>,"Assay: Dermal Bone<br>Description: skull shape change associated with skin as well<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-030612-10"">Matthew Harris</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-591,t30440,;Adult: cranial skeleton shape (abnormal); ,skull shape change. Coordinated change in dimensions. <b>Details:</b>,"Assay: Dermal Bone<br>Description: skull shape change. Coordinated change in dimensions.<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-030612-10"">Matthew Harris</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-592,t30457,;Adult: dorsal fin small size (abnormal); ,skull shape: round. Dorsal fin reduced. <b>Details:</b>,"Assay: Dermal Bone<br>Description: skull shape: round. Dorsal fin reduced.<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-030612-10"">Matthew Harris</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-593,t30607,;Adult: ventral mandibular arch malformed (abnormal); ,skull. Mandible malformed -- thin. <b>Details:</b>,"Assay: Dermal Bone<br>Description: skull. Mandible malformed -- thin.<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-030612-10"">Matthew Harris</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-594,t30827,;Adult: caudal fin pattern (abnormal); growth (abnormal); ,slight pigment pattern defect <b>Details:</b>,"Assay: Regeneration 2<br>Description: slight pigment pattern defect<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-040209-3"">Christopher Antos</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-595,t30433,;Adult: visual perception (abnormal/absent); ,small blind fish <b>Details:</b>,"Assay: Dermal Bone<br>Description: small blind fish<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-030612-10"">Matthew Harris</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-596,t30645,;Day 5: gut structure (abnormal); heart development (abnormal); ,"small embryo\"";"" flat midgut\"";"" hindgut ok? <b>Details:</b>","Assay: Heart development<br>Description: small embryo\"";"" flat midgut\"";"" hindgut ok?<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-960805-14"">Salim Abdelilah-Seyfried</a> / Nana Bit-Avragim\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-597,t30644,;Day 5: gut flat (abnormal); heart development (abnormal); ,"small embryos\"";"" abnormal pigmentation\"";"" abnormal skin\"";"" small eyes\"";"" elongated in AP axis heart\"";"" flat gut <b>Details:</b>","Assay: Heart development<br>Description: small embryos\"";"" abnormal pigmentation\"";"" abnormal skin\"";"" small eyes\"";"" elongated in AP axis heart\"";"" flat gut<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-960805-14"">Salim Abdelilah-Seyfried</a> / Nana Bit-Avragim\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-598,t30282,;Day 5: head pattern (abnormal); regulation of circadian rhythm (abnormal); ,"Small eye\"";"" reduced cry1a staining <b>Details:</b>","Assay: Light induction<br>Description: Small eye\"";"" reduced cry1a staining<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-001110-8"">Nicholas-Simon Foulkes</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-599,t30250,;Day 5: head pattern (abnormal); regulation of circadian rhythm (abnormal); ,Small eye/head less cry1a staining <b>Details:</b>,"Assay: Light induction<br>Description: Small eye/head less cry1a staining<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-001110-8"">Nicholas-Simon Foulkes</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-6,t30727,,,"Assay: Dermal Bone<br>Description: <br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-030612-10"">Matthew Harris</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-60,t30315,;visual behavior (abnormal); Day 5: visual behavior (abnormal/absent); ,2/10 fish -- no b-wwave <b>Details:</b>,"Assay: Eye ERG<br>Description: 2/10 fish -- no b-wwave<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-060328-1"">Valerie Fleisch</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-600,t30251,;Day 5: head pattern (abnormal); regulation of circadian rhythm (abnormal); ,Small eye/head less cry1a staining <b>Details:</b>,"Assay: Light induction<br>Description: Small eye/head less cry1a staining<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-001110-8"">Nicholas-Simon Foulkes</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-601,t30252,;Day 5: head pattern (abnormal); regulation of circadian rhythm (abnormal); ,Small eye/head less cry1a staining <b>Details:</b>,"Assay: Light induction<br>Description: Small eye/head less cry1a staining<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-001110-8"">Nicholas-Simon Foulkes</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-602,t30592,;heart development (abnormal); Prim-5: heart tube shape (abnormal); ,"small eyes\"";"" heart as a tube at 36hpf\"";"" both chambers are compact and thick\"";"" no peripheral circulation\"";"" pericardial edema <b>Details:</b>","Assay: Heart development<br>Description: small eyes\"";"" heart as a tube at 36hpf\"";"" both chambers are compact and thick\"";"" no peripheral circulation\"";"" pericardial edema<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-960805-14"">Salim Abdelilah-Seyfried</a> / Nana Bit-Avragim\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-603,t30519,;Day 5: head pattern (abnormal); regulation of circadian rhythm (abnormal); ,"small eyes\"";"" small head\"";"" less cry1a staining <b>Details:</b>","Assay: Light induction<br>Description: small eyes\"";"" small head\"";"" less cry1a staining<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-001110-8"">Nicholas-Simon Foulkes</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-604,t30323,;Day 5: head pattern (abnormal); regulation of circadian rhythm (abnormal); ,"small eyes\"";"" small head\"";"" less cry1a staining. <b>Details:</b>","Assay: Light induction<br>Description: small eyes\"";"" small head\"";"" less cry1a staining.<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-001110-8"">Nicholas-Simon Foulkes</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-605,t30477,;Day 5: head pattern (abnormal); regulation of circadian rhythm (abnormal); ,"small eyes\"";"" small head. Reduced cry1a staining <b>Details:</b>","Assay: Light induction<br>Description: small eyes\"";"" small head. Reduced cry1a staining<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-001110-8"">Nicholas-Simon Foulkes</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-606,t30768,;growth (abnormal); Adult: regenerating fin small size (abnormal); ,small fish with poor regeneration growth <b>Details:</b>,"Assay: Regeneration 2<br>Description: small fish with poor regeneration growth<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-040209-3"">Christopher Antos</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-607,t30775,;growth (abnormal); Adult: regenerating fin small size (abnormal); ,small fish with poor regrowth of fin <b>Details:</b>,"Assay: Regeneration 2<br>Description: small fish with poor regrowth of fin<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-040209-3"">Christopher Antos</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-608,t30776,;growth (abnormal); Adult: regenerating fin small size (abnormal); ,small fish with poor regrowth of fin <b>Details:</b>,"Assay: Regeneration 2<br>Description: small fish with poor regrowth of fin<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-040209-3"">Christopher Antos</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-609,t30769,;growth (abnormal); Adult: regenerating fin small size (abnormal); ,small fish with poor tail regeneration <b>Details:</b>,"Assay: Regeneration 2<br>Description: small fish with poor tail regeneration<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-040209-3"">Christopher Antos</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-61,t30288,;visual behavior (abnormal); Day 5: visual behavior (abnormal/absent); ,2/11 -- no b-wave <b>Details:</b>,"Assay: Eye ERG<br>Description: 2/11 -- no b-wave<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-060328-1"">Valerie Fleisch</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-610,t30591,;heart development (abnormal); Prim-5: heart tube shape (abnormal); ,"small head and eyes\"";"" delay in eye's pigmentation at 36hpf\"";"" body form is slightly curved ventral\"";"" enlarged atrium and compact ventricle\"";"" no peripheral circulation\"";"" pericardial edema <b>Details:</b>","Assay: Heart development<br>Description: small head and eyes\"";"" delay in eye's pigmentation at 36hpf\"";"" body form is slightly curved ventral\"";"" enlarged atrium and compact ventricle\"";"" no peripheral circulation\"";"" pericardial edema<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-960805-14"">Salim Abdelilah-Seyfried</a> / Nana Bit-Avragim\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-611,t30198,;cell migration (abnormal); Day 4: macrophages relative_quantity (normal); ,Small head but normal number <b>Details:</b>,"Assay: Macrophage migration<br>Description: Small head but normal number<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-020719-19"">Francesca Peri</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-612,t30259,;cell migration (abnormal); Day 4: macrophages increased number (abnormal); ,Small head more microglia <b>Details:</b>,"Assay: Macrophage migration<br>Description: Small head more microglia<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-020719-19"">Francesca Peri</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-613,t30330,;cell migration (abnormal); Day 4: macrophages decreased number (abnormal); ,"Small head\"";"" fewer microglia. <b>Details:</b>","Assay: Macrophage migration<br>Description: Small head\"";"" fewer microglia.<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-020719-19"">Francesca Peri</a> / <a href=""ZFIN_jump?record=ZDB-PERS-031117-4"">Muriel Tauzin</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-614,t30328,;cell migration (abnormal); Day 4: macrophages decreased number (abnormal); ,"Small head\"";"" many big red cells in retina\"";"" number of microglia slightly reduced in the brain <b>Details:</b>","Assay: Macrophage migration<br>Description: Small head\"";"" many big red cells in retina\"";"" number of microglia slightly reduced in the brain<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-020719-19"">Francesca Peri</a> / <a href=""ZFIN_jump?record=ZDB-PERS-031117-4"">Muriel Tauzin</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-615,t30832,;Day 5: epidermal cell round (abnormal); ,"Small head\"";"" rounded up cells in the epidermis. Brain becoming necrotic. Overgrowth over yolk in some cases. Larvae appear smaller or retarded. <b>Details:</b>","Assay: Skin 1<br>Description: Small head\"";"" rounded up cells in the epidermis. Brain becoming necrotic. Overgrowth over yolk in some cases. Larvae appear smaller or retarded.<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-001110-15"">Mahendra Sonawane</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-616,t30191,;Day 5: head pattern (abnormal); regulation of circadian rhythm (abnormal); ,"small head\"";"" small eye\"";"" reduced cry1a staining <b>Details:</b>","Assay: Light induction<br>Description: small head\"";"" small eye\"";"" reduced cry1a staining<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-001110-8"">Nicholas-Simon Foulkes</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-617,t30619,;Adult: opercle small size (abnormal); ,Small opercle. <b>Details:</b>,"Assay: Dermal Bone<br>Description: Small opercle.<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-030612-10"">Matthew Harris</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-618,t30900,;astrocyte activation (abnormal); Day 4: brain pattern (abnormal); ,Small size; olig1 and gfap staining reduced in 6 mutants (18 normal sibs). <b>Details:</b>,"Assay: Astroglia<br>Description: Small size; olig1 and gfap staining reduced in 6 mutants (18 normal sibs).<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-960805-34"">Francesco Argenton</a> / <a href=""ZFIN_jump?record=ZDB-PERS-020116-8"">Natascia Tiso</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-619,t30517,;Day 4: neuromasts decreased number (abnormal); regulation of cell migration (abnormal); ,"smaller and fewer PLL NM\"";"" embryos also small <b>Details:</b>","Assay: Lateral line<br>Description: smaller and fewer PLL NM\"";"" embryos also small<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-971209-58"">Darren Gilmour</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-62,t30357,;Adult: scales pattern (abnormal); ,2/11 midtrunk scale polarity change. <b>Details:</b>,"Assay: Dermal Bone<br>Description: 2/11 midtrunk scale polarity change.<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-030612-10"">Matthew Harris</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-620,t30490,;cell migration (abnormal); Day 4: macrophages decreased number (abnormal); ,Smaller brain and fewer macrophages. <b>Details:</b>,"Assay: Macrophage migration<br>Description: Smaller brain and fewer macrophages.<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-020719-19"">Francesca Peri</a> / <a href=""ZFIN_jump?record=ZDB-PERS-031117-4"">Muriel Tauzin</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-621,t30168,;cell migration (abnormal); Day 4: macrophages decreased number (abnormal); ,Smaller head but fewer microglia. <b>Details:</b>,"Assay: Macrophage migration<br>Description: Smaller head but fewer microglia.<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-020719-19"">Francesca Peri</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-622,t30582,;insulin processing (abnormal); Long-pec: pancreas structure (abnormal); ,smaller islet then wild type. One embryo has almost no islet; two others have two smaller islets but reduced in size. <b>Details:</b>,"Assay: Pancreas<br>Description: smaller islet then wild type. One embryo has almost no islet; two others have two smaller islets but reduced in size.<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-970909-65"">Dirk Meyer</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-623,t30842,;heart development (abnormal); Long-pec: heart tube placement (abnormal); ,some are retarded and have necroses in head <b>Details:</b>,"Assay: heart morphology<br>Description: some are retarded and have necroses in head<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-980519-6"">Jeroen Bakkers</a> / Manon Verhoeven\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-624,t30970,;heart development (abnormal); Long-pec: heart tube placement (abnormal); ,"some cardiac edemas and small heads\"";"" extension good\"";"" tail fin irregular but formed <b>Details:</b>","Assay: heart morphology<br>Description: some cardiac edemas and small heads\"";"" extension good\"";"" tail fin irregular but formed<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-980519-6"">Jeroen Bakkers</a> / Manon Verhoeven\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-625,t30977,;heart development (abnormal); Long-pec: heart tube placement (abnormal); ,"some edemas and bleeding. Some rough tail fin both dorsal and ventral\"";"" others fine <b>Details:</b>","Assay: heart morphology<br>Description: some edemas and bleeding. Some rough tail fin both dorsal and ventral\"";"" others fine<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-980519-6"">Jeroen Bakkers</a> / Manon Verhoeven\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-626,t30797,;heart development (abnormal); Long-pec: heart tube placement (abnormal); ,"Some embryos have stringy heart\"";"" no circulation\"";"" large edema. Others have ""normal"" heart\"";"" + circulation\"";"" but curly tails to the side. They swirl around. <b>Details:</b>","Assay: heart morphology<br>Description: Some embryos have stringy heart\"";"" no circulation\"";"" large edema. Others have ""normal"" heart\"";"" + circulation\"";"" but curly tails to the side. They swirl around.<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-980519-6"">Jeroen Bakkers</a> / Manon Verhoeven\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-627,t30881,;heart development (abnormal); Long-pec: heart tube placement (abnormal); ,"some had no/very small heart tube\"";"" edemas <b>Details:</b>","Assay: heart morphology<br>Description: some had no/very small heart tube\"";"" edemas<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-980519-6"">Jeroen Bakkers</a> / Manon Verhoeven\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-628,t30661,;muscle cell differentiation (abnormal); Protruding-mouth: musculature system structure (abnormal); ,some muscles not properly attached to target site (secondary defect?) <b>Details:</b>,"Assay: Satellite cells<br>Description: some muscles not properly attached to target site (secondary defect?)<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-001110-12"">Holger Knaut</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-629,t30803,;heart development (abnormal); Long-pec: heart tube placement (abnormal); ,some show cardiac defects and edemas <b>Details:</b>,"Assay: heart morphology<br>Description: some show cardiac defects and edemas<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-980519-6"">Jeroen Bakkers</a> / Manon Verhoeven\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-63,t30241,;brain development (abnormal); Protruding-mouth: brain pattern (abnormal); ,"2/21 show loss of isotocin and anterior ppss3 domains\"";"" heads/eyes are of normal size (looks like only diencephalon is specifically affected). <b>Details:</b>","Assay: Pituitary screen<br>Description: 2/21 show loss of isotocin and anterior ppss3 domains\"";"" heads/eyes are of normal size (looks like only diencephalon is specifically affected).<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-960805-226"">Matthias Hammerschmidt</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-630,t30374,;Adult: whole organism bent (abnormal); ,somewhat small fish with crooked spine. <b>Details:</b>,"Assay: Gonads<br>Description: somewhat small fish with crooked spine.<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-030612-11"">Kellee Siegfried</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-631,t30487,;insulin processing (abnormal); Long-pec: pancreas structure (abnormal); ,split pancreas <b>Details:</b>,"Assay: Pancreas<br>Description: split pancreas<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-970909-65"">Dirk Meyer</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-632,t30550,;heart development (abnormal); Prim-5: heart tube shape (abnormal); ,"stenotis sinus venosus\"";"" extended atrium\"";"" no peripheral circulation\"";"" pericardial edema\"";"" hypertrophic ventricle <b>Details:</b>","Assay: Heart development<br>Description: stenotis sinus venosus\"";"" extended atrium\"";"" no peripheral circulation\"";"" pericardial edema\"";"" hypertrophic ventricle<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-960805-14"">Salim Abdelilah-Seyfried</a> / Nana Bit-Avragim\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
