sanger_preinput_feature_abbrev|sanger_preinput_gene_zdb_id|sanger_preinput_test
sa30659|ZDB-GENE-060405-1|-060405-1
sa30660|ZDB-GENE-030131-3790|-030131-3790
sa30662|ZDB-GENE-040625-45|-040625-45
sa30663|ZDB-GENE-061013-752|-061013-752
sa30664|ZDB-GENE-050706-68|-050706-68
sa30665|ZDB-GENE-030131-3509|-030131-3509
sa30666|ZDB-GENE-111115-1|-111115-1
sa30667|ZDB-GENE-040801-47|-040801-47
sa30668|ZDB-GENE-030131-5726|-030131-5726
sa30669|ZDB-GENE-090313-281|-090313-281
sa30670|ZDB-GENE-060929-808|-060929-808
sa30671|ZDB-GENE-090122-1|-090122-1
sa30672|ZDB-GENE-030616-605|-030616-605
sa30673|ZDB-GENE-091204-326|-091204-326
sa30674|ZDB-GENE-051128-1|-051128-1
sa30675|ZDB-GENE-980526-326|-980526-326
sa30676|ZDB-GENE-030131-4913|-030131-4913
sa30677|ZDB-GENE-010306-4|-010306-4
sa30678|ZDB-GENE-020419-18|-020419-18
sa30679|ZDB-GENE-080303-31|-080303-31
sa30680|ZDB-GENE-030131-5584|-030131-5584
sa30681|ZDB-GENE-130530-773|-130530-773
sa30683|ZDB-GENE-110601-1|-110601-1
sa30684|ZDB-GENE-100210-5|-100210-5
sa30685|ZDB-GENE-060503-67|-060503-67
sa30686|ZDB-GENE-001019-1|-001019-1
sa30687|ZDB-GENE-061218-1|-061218-1
sa30689|ZDB-GENE-100922-265|-100922-265
sa30690|ZDB-GENE-030519-1|-030519-1
sa30692|ZDB-GENE-100921-2|-100921-2
sa30694|ZDB-GENE-071218-4|-071218-4
sa30695|ZDB-GENE-010130-2|-010130-2
sa30696|ZDB-GENE-060810-90|-060810-90
sa30697|ZDB-GENE-131121-26|-131121-26
sa30698|ZDB-GENE-070615-4|-070615-4
sa30699|ZDB-GENE-070815-4|-070815-4
sa30700|ZDB-GENE-991119-4|-991119-4
sa30701|ZDB-GENE-050706-104|-050706-104
sa30702|ZDB-GENE-990715-2|-990715-2
sa30703|ZDB-GENE-050419-11|-050419-11
sa30704|ZDB-GENE-040426-867|-040426-867
sa30708|ZDB-GENE-010110-1|-010110-1
sa30709|ZDB-GENE-060503-376|-060503-376
sa30710|ZDB-GENE-060130-5|-060130-5
sa30711|ZDB-GENE-060503-106|-060503-106
sa30712|ZDB-GENE-060825-176|-060825-176
sa30713|ZDB-GENE-081104-224|-081104-224
sa30714|ZDB-GENE-010817-1|-010817-1
sa30715|ZDB-GENE-040724-127|-040724-127
sa30716|ZDB-GENE-041008-2|-041008-2
sa30717|ZDB-GENE-041014-322|-041014-322
sa30718|ZDB-GENE-041014-300|-041014-300
sa30719|ZDB-GENE-041014-304|-041014-304
sa30721|ZDB-GENE-110411-269|-110411-269
sa30722|ZDB-GENE-990415-94|-990415-94
sa30723|ZDB-GENE-080804-2|-080804-2
sa30724|ZDB-GENE-080519-2|-080519-2
sa30725|ZDB-GENE-091118-96|-091118-96
sa30727|ZDB-GENE-030131-6259|-030131-6259
sa30728|ZDB-GENE-011109-1|-011109-1
sa30729|ZDB-GENE-080108-1|-080108-1
sa30730|ZDB-GENE-040718-452|-040718-452
sa30731|ZDB-GENE-030131-3063|-030131-3063
sa30733|ZDB-GENE-100922-157|-100922-157
sa30734|ZDB-GENE-010522-1|-010522-1
sa30735|ZDB-GENE-050208-612|-050208-612
sa30736|ZDB-GENE-030131-6830|-030131-6830
sa30737|ZDB-GENE-040801-115|-040801-115
sa30738|ZDB-GENE-081022-169|-081022-169
sa30739|ZDB-GENE-041010-136|-041010-136
sa30740|ZDB-GENE-030131-1668|-030131-1668
sa30741|ZDB-GENE-030131-7126|-030131-7126
sa30742|ZDB-GENE-090313-196|-090313-196
sa30743|ZDB-GENE-081104-387|-081104-387
sa30744|ZDB-GENE-040426-1701|-040426-1701
sa30745|ZDB-GENE-030131-2709|-030131-2709
sa30746|ZDB-GENE-040426-1507|-040426-1507
sa30747|ZDB-GENE-040617-2|-040617-2
sa30748|ZDB-GENE-040704-48|-040704-48
sa30749|ZDB-GENE-131121-19|-131121-19
sa30750|ZDB-GENE-040704-28|-040704-28
sa30751|ZDB-GENE-031118-54|-031118-54
sa30752|ZDB-GENE-030131-395|-030131-395
sa30755|ZDB-GENE-080204-71|-080204-71
sa30805|ZDB-GENE-040808-59|-040808-59
sa38321|ZDB-GENE-070912-458|-070912-458
sa39527|ZDB-GENE-090313-21|-090313-21
sa39529|ZDB-GENE-001212-4|-001212-4
sa39530|ZDB-GENE-121214-287|-121214-287
sa39531|ZDB-GENE-030424-2|-030424-2
sa39534|ZDB-GENE-011212-4|-011212-4
sa39541|ZDB-GENE-030918-4|-030918-4
sa39543|ZDB-GENE-090312-128|-090312-128
sa39550|ZDB-GENE-050522-508|-050522-508
sa39563|ZDB-GENE-090312-134|-090312-134
sa39564|ZDB-GENE-051120-105|-051120-105
sa39565|ZDB-GENE-060929-1198|-060929-1198
sa39577|ZDB-GENE-030131-428|-030131-428
sa39578|ZDB-GENE-050417-324|-050417-324
sa39591|ZDB-GENE-070615-38|-070615-38
sa39593|ZDB-GENE-061207-66|-061207-66
sa39596|ZDB-GENE-090312-139|-090312-139
sa39597|ZDB-GENE-090312-199|-090312-199
sa39601|ZDB-GENE-040426-737|-040426-737
sa39603|ZDB-GENE-090313-137|-090313-137
sa39608|ZDB-GENE-040426-1612|-040426-1612
sa39618|ZDB-GENE-030131-6401|-030131-6401
sa39620|ZDB-GENE-061116-1|-061116-1
sa39625|ZDB-GENE-061110-138|-061110-138
sa39627|ZDB-GENE-090311-54|-090311-54
sa39628|ZDB-GENE-050522-71|-050522-71
sa39631|ZDB-GENE-090312-178|-090312-178
sa39644|ZDB-GENE-090312-89|-090312-89
sa39649|ZDB-GENE-090313-131|-090313-131
sa39657|ZDB-GENE-990415-131|-990415-131
sa39668|ZDB-GENE-041008-209|-041008-209
sa39670|ZDB-GENE-090511-2|-090511-2
sa39689|ZDB-GENE-090313-139|-090313-139
sa39695|ZDB-GENE-080722-15|-080722-15
sa39696|ZDB-GENE-040808-59|-040808-59
sa39702|ZDB-GENE-010724-2|-010724-2
sa39703|ZDB-GENE-030131-2374|-030131-2374
sa39712|ZDB-GENE-121214-140|-121214-140
sa39714|ZDB-GENE-041212-2|-041212-2
sa39716|ZDB-GENE-990415-36|-990415-36
sa39722|ZDB-GENE-050913-133|-050913-133
sa39737|ZDB-GENE-101223-1|-101223-1
sa39738|ZDB-GENE-120824-2|-120824-2
sa39740|ZDB-GENE-070705-132|-070705-132
sa39746|ZDB-GENE-030131-7764|-030131-7764
sa39762|ZDB-GENE-130530-816|-130530-816
sa39767|ZDB-GENE-060503-266|-060503-266
sa39768|ZDB-GENE-070705-32|-070705-32
sa39769|ZDB-GENE-030902-3|-030902-3
sa39777|ZDB-GENE-070912-641|-070912-641
sa39784|ZDB-GENE-070705-340|-070705-340
sa39790|ZDB-GENE-070912-349|-070912-349
sa39793|ZDB-GENE-031010-44|-031010-44
sa39795|ZDB-GENE-030131-6851|-030131-6851
sa39797|ZDB-GENE-070912-575|-070912-575
sa39800|ZDB-GENE-070912-458|-070912-458
sa39802|ZDB-GENE-040426-1203|-040426-1203
sa39806|ZDB-GENE-070705-281|-070705-281
sa39807|ZDB-GENE-131121-98|-131121-98
sa39808|ZDB-GENE-070912-265|-070912-265
sa39810|ZDB-GENE-990415-45|-990415-45
sa39814|ZDB-GENE-030131-5243|-030131-5243
sa39820|ZDB-GENE-061027-393|-061027-393
sa39821|ZDB-GENE-061027-393|-061027-393
sa39835|ZDB-GENE-040711-2|-040711-2
sa39840|ZDB-GENE-070912-397|-070912-397
sa39847|ZDB-GENE-070912-592|-070912-592
sa39851|ZDB-GENE-070705-16|-070705-16
sa39865|ZDB-GENE-040718-384|-040718-384
sa39866|ZDB-GENE-010129-1|-010129-1
sa39868|ZDB-GENE-050105-3|-050105-3
sa39875|ZDB-GENE-070912-171|-070912-171
sa39876|ZDB-GENE-021226-3|-021226-3
sa39877|ZDB-GENE-030131-8201|-030131-8201
sa39880|ZDB-GENE-030616-325|-030616-325
sa39882|ZDB-GENE-070912-417|-070912-417
sa39888|ZDB-GENE-070912-661|-070912-661
sa39889|ZDB-GENE-070912-660|-070912-660
sa39890|ZDB-GENE-070912-10|-070912-10
sa39893|ZDB-GENE-030616-583|-030616-583
sa39897|ZDB-GENE-010724-7|-010724-7
sa39907|ZDB-GENE-070912-226|-070912-226
sa39912|ZDB-GENE-070912-197|-070912-197
sa39918|ZDB-GENE-090609-1|-090609-1
sa39925|ZDB-GENE-001212-6|-001212-6
sa39927|ZDB-GENE-040426-2878|-040426-2878
sa39929|ZDB-GENE-070912-280|-070912-280
sa39943|ZDB-GENE-030131-5947|-030131-5947
sa39944|ZDB-GENE-050913-141|-050913-141
sa39959|ZDB-GENE-110411-196|-110411-196
sa39960|ZDB-GENE-021106-1|-021106-1
sa39968|ZDB-GENE-061215-80|-061215-80
sa39995|ZDB-GENE-060503-484|-060503-484
sa39997|ZDB-GENE-040426-1636|-040426-1636
sa40000|ZDB-GENE-050327-87|-050327-87
sa40002|ZDB-GENE-061110-91|-061110-91
sa40005|ZDB-GENE-051120-39|-051120-39
sa40006|ZDB-GENE-091204-254|-091204-254
sa40009|ZDB-GENE-050706-137|-050706-137
sa40013|ZDB-GENE-040426-1171|-040426-1171
sa40014|ZDB-GENE-131127-97|-131127-97
sa40015|ZDB-GENE-061215-116|-061215-116
sa40020|ZDB-GENE-030131-9520|-030131-9520
sa40021|ZDB-GENE-030131-5711|-030131-5711
sa40022|ZDB-GENE-030131-5711|-030131-5711
sa40025|ZDB-GENE-090303-6|-090303-6
sa40034|ZDB-GENE-050913-103|-050913-103
sa40037|ZDB-GENE-040915-3|-040915-3
sa40049|ZDB-GENE-030131-9416|-030131-9416
sa40050|ZDB-GENE-030131-9416|-030131-9416
sa40058|ZDB-GENE-121219-3|-121219-3
sa40064|ZDB-GENE-120524-1|-120524-1
sa40065|ZDB-GENE-040801-205|-040801-205
sa40069|ZDB-GENE-060518-3|-060518-3
sa40071|ZDB-GENE-040822-24|-040822-24
sa40074|ZDB-GENE-061103-196|-061103-196
sa40079|ZDB-GENE-040426-1401|-040426-1401
sa40089|ZDB-GENE-030131-7382|-030131-7382
sa40108|ZDB-GENE-980526-73|-980526-73
sa40110|ZDB-GENE-050417-354|-050417-354
sa40111|ZDB-GENE-040426-1404|-040426-1404
sa40112|ZDB-GENE-120214-28|-120214-28
sa40124|ZDB-GENE-041008-237|-041008-237
sa40125|ZDB-GENE-131121-149|-131121-149
sa40130|ZDB-GENE-131121-60|-131121-60
sa40131|ZDB-GENE-071212-1|-071212-1
sa40132|ZDB-GENE-130103-1|-130103-1
sa40137|ZDB-GENE-081104-374|-081104-374
sa40146|ZDB-GENE-030131-6523|-030131-6523
sa40147|ZDB-GENE-130530-863|-130530-863
sa40153|ZDB-GENE-131127-267|-131127-267
sa40155|ZDB-GENE-060823-1|-060823-1
sa40161|ZDB-GENE-050516-1|-050516-1
sa40163|ZDB-GENE-100812-4|-100812-4
sa40167|ZDB-GENE-040426-685|-040426-685
sa40173|ZDB-GENE-990714-15|-990714-15
sa40174|ZDB-GENE-990714-15|-990714-15
sa40198|ZDB-GENE-081104-64|-081104-64
sa40203|ZDB-GENE-030131-3527|-030131-3527
sa40204|ZDB-GENE-041210-25|-041210-25
sa40207|ZDB-GENE-041210-12|-041210-12
sa40212|ZDB-GENE-120328-1|-120328-1
sa40220|ZDB-GENE-040426-1275|-040426-1275
sa40229|ZDB-GENE-041008-175|-041008-175
sa40230|ZDB-GENE-041008-175|-041008-175
sa40232|ZDB-GENE-041210-336|-041210-336
sa40242|ZDB-GENE-040718-261|-040718-261
sa40243|ZDB-GENE-041121-18|-041121-18
sa40246|ZDB-GENE-050419-142|-050419-142
sa40257|ZDB-GENE-030131-2893|-030131-2893
sa40260|ZDB-GENE-030131-5005|-030131-5005
sa40263|ZDB-GENE-991111-5|-991111-5
sa40264|ZDB-GENE-030925-29|-030925-29
sa40268|ZDB-GENE-041010-147|-041010-147
sa40270|ZDB-GENE-041210-349|-041210-349
sa40272|ZDB-GENE-041210-172|-041210-172
sa40275|ZDB-GENE-041210-176|-041210-176
sa40278|ZDB-GENE-041210-129|-041210-129
sa40287|ZDB-GENE-020129-1|-020129-1
sa40301|ZDB-GENE-990415-82|-990415-82
sa40307|ZDB-GENE-041210-200|-041210-200
sa40311|ZDB-GENE-110914-42|-110914-42
sa40312|ZDB-GENE-081103-55|-081103-55
sa40314|ZDB-GENE-110913-32|-110913-32
sa40316|ZDB-GENE-110914-212|-110914-212
sa40318|ZDB-GENE-110913-92|-110913-92
sa40322|ZDB-GENE-110913-76|-110913-76
sa40325|ZDB-GENE-081103-24|-081103-24
sa40326|ZDB-GENE-050419-8|-050419-8
sa40339|ZDB-GENE-070705-365|-070705-365
sa40341|ZDB-GENE-070822-29|-070822-29
sa40346|ZDB-GENE-081104-27|-081104-27
sa40348|ZDB-GENE-041114-140|-041114-140
sa40349|ZDB-GENE-050522-210|-050522-210
sa40368|ZDB-GENE-030131-662|-030131-662
sa40372|ZDB-GENE-030131-6690|-030131-6690
sa40375|ZDB-GENE-030131-9669|-030131-9669
sa40377|ZDB-GENE-040914-66|-040914-66
sa40380|ZDB-GENE-011210-2|-011210-2
sa40389|ZDB-GENE-060314-2|-060314-2
sa40392|ZDB-GENE-040426-2634|-040426-2634
sa40394|ZDB-GENE-030114-6|-030114-6
sa40397|ZDB-GENE-030131-9588|-030131-9588
sa40398|ZDB-GENE-030131-9588|-030131-9588
sa40403|ZDB-GENE-030131-3625|-030131-3625
sa40405|ZDB-GENE-060531-133|-060531-133
sa40407|ZDB-GENE-020402-2|-020402-2
sa40409|ZDB-GENE-050417-450|-050417-450
sa40410|ZDB-GENE-060526-194|-060526-194
sa40411|ZDB-GENE-050306-56|-050306-56
sa40412|ZDB-GENE-060526-198|-060526-198
sa40419|ZDB-GENE-060526-38|-060526-38
sa40422|ZDB-GENE-050309-66|-050309-66
sa40428|ZDB-GENE-010509-1|-010509-1
sa40429|ZDB-GENE-040718-409|-040718-409
sa40434|ZDB-GENE-081104-97|-081104-97
sa40443|ZDB-GENE-980526-104|-980526-104
sa40451|ZDB-GENE-060531-44|-060531-44
sa40452|ZDB-GENE-060531-44|-060531-44
sa40457|ZDB-GENE-030131-3973|-030131-3973
sa40461|ZDB-GENE-060526-204|-060526-204
sa40462|ZDB-GENE-060526-205|-060526-205
sa40467|ZDB-GENE-060531-7|-060531-7
sa40483|ZDB-GENE-030131-2449|-030131-2449
sa40484|ZDB-GENE-070705-551|-070705-551
sa40486|ZDB-GENE-060531-28|-060531-28
sa40493|ZDB-GENE-060531-8|-060531-8
sa40499|ZDB-GENE-030131-5576|-030131-5576
sa40502|ZDB-GENE-030521-10|-030521-10
sa40507|ZDB-GENE-060526-130|-060526-130
sa40508|ZDB-GENE-030131-787|-030131-787
sa40522|ZDB-GENE-060929-432|-060929-432
sa40523|ZDB-GENE-060526-297|-060526-297
sa40525|ZDB-GENE-030131-378|-030131-378
sa40531|ZDB-GENE-040426-993|-040426-993
sa40541|ZDB-GENE-990621-7|-990621-7
sa40546|ZDB-GENE-030131-2878|-030131-2878
sa40549|ZDB-GENE-060526-81|-060526-81
sa40550|ZDB-GENE-040624-6|-040624-6
sa40553|ZDB-GENE-030131-6294|-030131-6294
sa40563|ZDB-GENE-040801-132|-040801-132
sa40566|ZDB-GENE-081104-25|-081104-25
sa40567|ZDB-GENE-030131-3813|-030131-3813
sa40569|ZDB-GENE-041114-27|-041114-27
sa40573|ZDB-GENE-040426-1949|-040426-1949
sa40604|ZDB-GENE-980526-125|-980526-125
sa40607|ZDB-GENE-030131-5723|-030131-5723
sa40619|ZDB-GENE-030131-2576|-030131-2576
sa40625|ZDB-GENE-130530-778|-130530-778
sa40632|ZDB-GENE-050809-9|-050809-9
sa40633|ZDB-GENE-120215-12|-120215-12
sa40639|ZDB-GENE-040108-7|-040108-7
sa40647|ZDB-GENE-061110-97|-061110-97
sa40651|ZDB-GENE-040718-103|-040718-103
sa40658|ZDB-GENE-040625-139|-040625-139
sa40660|ZDB-GENE-020509-2|-020509-2
sa40663|ZDB-GENE-990415-169|-990415-169
sa40666|ZDB-GENE-030131-7377|-030131-7377
sa40668|ZDB-GENE-040426-769|-040426-769
sa40669|ZDB-GENE-050522-325|-050522-325
sa40671|ZDB-GENE-070209-232|-070209-232
sa40675|ZDB-GENE-050208-150|-050208-150
sa40676|ZDB-GENE-120215-32|-120215-32
sa40680|ZDB-GENE-030131-3230|-030131-3230
sa40683|ZDB-GENE-010724-11|-010724-11
sa40689|ZDB-GENE-030131-9745|-030131-9745
sa40690|ZDB-GENE-030131-4816|-030131-4816
sa40705|ZDB-GENE-100922-30|-100922-30
sa40706|ZDB-GENE-040116-8|-040116-8
sa40708|ZDB-GENE-010822-3|-010822-3
sa40711|ZDB-GENE-130530-876|-130530-876
sa40720|ZDB-GENE-050302-15|-050302-15
sa40728|ZDB-GENE-080107-5|-080107-5
sa40731|ZDB-GENE-131119-53|-131119-53
sa40732|ZDB-GENE-060209-2|-060209-2
sa40733|ZDB-GENE-081104-304|-081104-304
sa40743|ZDB-GENE-070424-25|-070424-25
sa40755|ZDB-GENE-020418-2|-020418-2
sa40756|ZDB-GENE-060616-182|-060616-182
sa40758|ZDB-GENE-040822-43|-040822-43
sa40762|ZDB-GENE-131121-645|-131121-645
sa40769|ZDB-GENE-021016-2|-021016-2
sa40772|ZDB-GENE-050309-79|-050309-79
sa40774|ZDB-GENE-041203-1|-041203-1
sa40776|ZDB-GENE-031125-3|-031125-3
sa40780|ZDB-GENE-131120-147|-131120-147
sa40799|ZDB-GENE-070806-30|-070806-30
sa40800|ZDB-GENE-110411-113|-110411-113
sa40802|ZDB-GENE-030131-417|-030131-417
sa40812|ZDB-GENE-120920-1|-120920-1
sa40823|ZDB-GENE-041001-97|-041001-97
sa40828|ZDB-GENE-080723-70|-080723-70
sa40832|ZDB-GENE-070928-1|-070928-1
sa40834|ZDB-GENE-080204-93|-080204-93
sa40850|ZDB-GENE-041111-260|-041111-260
sa40854|ZDB-GENE-030131-4803|-030131-4803
sa40866|ZDB-GENE-041118-20|-041118-20
sa40867|ZDB-GENE-041114-88|-041114-88
sa40868|ZDB-GENE-121031-4|-121031-4
sa40877|ZDB-GENE-010801-1|-010801-1
sa40879|ZDB-GENE-030826-12|-030826-12
sa40891|ZDB-GENE-010906-1|-010906-1
sa40903|ZDB-GENE-031114-4|-031114-4
sa40921|ZDB-GENE-061103-52|-061103-52
sa40923|ZDB-GENE-040426-1231|-040426-1231
sa40931|ZDB-GENE-030328-29|-030328-29
sa40937|ZDB-GENE-040630-8|-040630-8
sa40938|ZDB-GENE-990415-85|-990415-85
sa40946|ZDB-GENE-110623-3|-110623-3
sa40948|ZDB-GENE-040426-1909|-040426-1909
sa40955|ZDB-GENE-040914-65|-040914-65
sa40957|ZDB-GENE-070615-21|-070615-21
sa40958|ZDB-GENE-050417-198|-050417-198
sa40963|ZDB-GENE-030219-181|-030219-181
sa40964|ZDB-GENE-111104-3|-111104-3
sa40968|ZDB-GENE-030131-8301|-030131-8301
sa40976|ZDB-GENE-030131-9008|-030131-9008
sa40983|ZDB-GENE-030131-2976|-030131-2976
sa40999|ZDB-GENE-050208-221|-050208-221
sa41005|ZDB-GENE-080327-5|-080327-5
sa41015|ZDB-GENE-101001-2|-101001-2
sa41018|ZDB-GENE-011128-8|-011128-8
sa41027|ZDB-GENE-081022-124|-081022-124
sa41029|ZDB-GENE-021031-1|-021031-1
sa41040|ZDB-GENE-030131-3932|-030131-3932
sa41042|ZDB-GENE-030131-3157|-030131-3157
sa41053|ZDB-GENE-030729-3|-030729-3
sa41064|ZDB-GENE-120727-13|-120727-13
sa41070|ZDB-GENE-091013-5|-091013-5
sa41083|ZDB-GENE-081119-1|-081119-1
sa41087|ZDB-GENE-040426-1562|-040426-1562
sa41095|ZDB-GENE-030131-8004|-030131-8004
sa41096|ZDB-GENE-120215-153|-120215-153
sa41097|ZDB-GENE-081104-370|-081104-370
sa41101|ZDB-GENE-071115-2|-071115-2
sa41102|ZDB-GENE-060610-1|-060610-1
sa41106|ZDB-GENE-070620-12|-070620-12
sa41111|ZDB-GENE-030131-2283|-030131-2283
sa41122|ZDB-GENE-030131-2939|-030131-2939
sa41137|ZDB-GENE-040426-702|-040426-702
sa41141|ZDB-GENE-040625-129|-040625-129
sa41143|ZDB-GENE-081104-451|-081104-451
sa41144|ZDB-GENE-040426-1246|-040426-1246
sa41152|ZDB-GENE-081104-526|-081104-526
sa41153|ZDB-GENE-081105-162|-081105-162
sa41155|ZDB-GENE-040801-155|-040801-155
sa41161|ZDB-GENE-081104-165|-081104-165
sa41185|ZDB-GENE-070605-1|-070605-1
sa41189|ZDB-GENE-030131-8623|-030131-8623
sa41190|ZDB-GENE-060503-115|-060503-115
sa41197|ZDB-GENE-041111-25|-041111-25
sa41213|ZDB-GENE-030131-1428|-030131-1428
sa41215|ZDB-GENE-081104-418|-081104-418
sa41218|ZDB-GENE-030131-9158|-030131-9158
sa41221|ZDB-GENE-030114-5|-030114-5
sa41225|ZDB-GENE-081105-78|-081105-78
sa41244|ZDB-GENE-070817-3|-070817-3
sa41246|ZDB-GENE-040426-2217|-040426-2217
sa41256|ZDB-GENE-000405-3|-000405-3
sa41263|ZDB-GENE-080707-1|-080707-1
sa41269|ZDB-GENE-080226-1|-080226-1
sa41272|ZDB-GENE-050320-123|-050320-123
sa41273|ZDB-GENE-081105-107|-081105-107
sa41275|ZDB-GENE-050208-155|-050208-155
sa41278|ZDB-GENE-030616-81|-030616-81
sa41281|ZDB-GENE-030616-394|-030616-394
sa41282|ZDB-GENE-040724-96|-040724-96
sa41302|ZDB-GENE-081105-41|-081105-41
sa41307|ZDB-GENE-030926-1|-030926-1
sa41310|ZDB-GENE-060404-5|-060404-5
sa41323|ZDB-GENE-040426-2881|-040426-2881
sa41334|ZDB-GENE-031118-14|-031118-14
sa41335|ZDB-GENE-980526-215|-980526-215
sa41337|ZDB-GENE-080204-101|-080204-101
sa41354|ZDB-GENE-070912-714|-070912-714
sa41356|ZDB-GENE-081104-83|-081104-83
sa41358|ZDB-GENE-070725-3|-070725-3
sa41363|ZDB-GENE-990415-278|-990415-278
sa41364|ZDB-GENE-990415-278|-990415-278
sa41368|ZDB-GENE-030131-4270|-030131-4270
sa41369|ZDB-GENE-070912-237|-070912-237
sa41378|ZDB-GENE-070912-310|-070912-310
sa41384|ZDB-GENE-010724-10|-010724-10
sa41385|ZDB-GENE-041008-22|-041008-22
sa41391|ZDB-GENE-050417-374|-050417-374
sa41394|ZDB-GENE-041114-151|-041114-151
sa41395|ZDB-GENE-070912-243|-070912-243
sa41398|ZDB-GENE-020529-1|-020529-1
sa41400|ZDB-GENE-050306-26|-050306-26
sa41401|ZDB-GENE-030131-574|-030131-574
sa41408|ZDB-GENE-041111-216|-041111-216
sa41409|ZDB-GENE-050208-441|-050208-441
sa41412|ZDB-GENE-081104-509|-081104-509
sa41413|ZDB-GENE-081105-126|-081105-126
sa41416|ZDB-GENE-070501-8|-070501-8
sa41420|ZDB-GENE-090311-22|-090311-22
sa41421|ZDB-GENE-070912-622|-070912-622
sa41422|ZDB-GENE-070912-282|-070912-282
sa41426|ZDB-GENE-050417-438|-050417-438
sa41431|ZDB-GENE-030131-5651|-030131-5651
sa41434|ZDB-GENE-070912-23|-070912-23
sa41435|ZDB-GENE-100922-211|-100922-211
sa41437|ZDB-GENE-071015-1|-071015-1
sa41439|ZDB-GENE-030131-6451|-030131-6451
sa41445|ZDB-GENE-070912-325|-070912-325
sa41446|ZDB-GENE-070912-325|-070912-325
sa41448|ZDB-GENE-070912-423|-070912-423
sa41454|ZDB-GENE-050522-410|-050522-410
sa41461|ZDB-GENE-040621-2|-040621-2
sa41464|ZDB-GENE-060216-2|-060216-2
sa41465|ZDB-GENE-031001-10|-031001-10
sa41466|ZDB-GENE-030616-55|-030616-55
sa41473|ZDB-GENE-030131-2854|-030131-2854
sa41476|ZDB-GENE-050417-130|-050417-130
sa41477|ZDB-GENE-070912-401|-070912-401
sa41479|ZDB-GENE-990706-8|-990706-8
sa41480|ZDB-GENE-030521-5|-030521-5
sa41484|ZDB-GENE-081104-520|-081104-520
sa41485|ZDB-GENE-040715-1|-040715-1
sa41487|ZDB-GENE-050119-7|-050119-7
sa41488|ZDB-GENE-081105-143|-081105-143
sa41490|ZDB-GENE-040714-1|-040714-1
sa41494|ZDB-GENE-030918-5|-030918-5
sa41510|ZDB-GENE-030616-413|-030616-413
sa41511|ZDB-GENE-030616-413|-030616-413
sa41514|ZDB-GENE-030616-413|-030616-413
sa41518|ZDB-GENE-030616-413|-030616-413
sa41524|ZDB-GENE-030113-2|-030113-2
sa41528|ZDB-GENE-030113-2|-030113-2
sa41550|ZDB-GENE-050119-2|-050119-2
sa41553|ZDB-GENE-040426-751|-040426-751
sa41556|ZDB-GENE-040219-11|-040219-11
sa41557|ZDB-GENE-050506-110|-050506-110
sa41564|ZDB-GENE-070112-2232|-070112-2232
sa41570|ZDB-GENE-091113-7|-091113-7
sa41581|ZDB-GENE-020919-2|-020919-2
sa41593|ZDB-GENE-031002-48|-031002-48
sa41601|ZDB-GENE-091204-183|-091204-183
sa41606|ZDB-GENE-051113-156|-051113-156
sa41607|ZDB-GENE-040704-72|-040704-72
sa41611|ZDB-GENE-030131-6129|-030131-6129
sa41615|ZDB-GENE-090112-4|-090112-4
sa41619|ZDB-GENE-091204-356|-091204-356
sa41630|ZDB-GENE-030131-2310|-030131-2310
sa41635|ZDB-GENE-080213-12|-080213-12
sa41636|ZDB-GENE-030131-9438|-030131-9438
sa41639|ZDB-GENE-050324-2|-050324-2
sa41651|ZDB-GENE-091204-310|-091204-310
sa41652|ZDB-GENE-011220-1|-011220-1
sa41655|ZDB-GENE-040718-421|-040718-421
sa41664|ZDB-GENE-030131-9003|-030131-9003
sa41668|ZDB-GENE-050417-131|-050417-131
sa41674|ZDB-GENE-091204-336|-091204-336
sa41676|ZDB-GENE-090812-5|-090812-5
sa41682|ZDB-GENE-031113-19|-031113-19
sa41689|ZDB-GENE-041010-186|-041010-186
sa41692|ZDB-GENE-020108-2|-020108-2
sa41697|ZDB-GENE-080215-5|-080215-5
sa41699|ZDB-GENE-110221-1|-110221-1
sa41701|ZDB-GENE-091204-279|-091204-279
sa41703|ZDB-GENE-091204-113|-091204-113
sa41705|ZDB-GENE-091116-8|-091116-8
sa41706|ZDB-GENE-990415-193|-990415-193
sa41707|ZDB-GENE-030131-9322|-030131-9322
sa41718|ZDB-GENE-050310-7|-050310-7
sa41719|ZDB-GENE-050310-7|-050310-7
sa41720|ZDB-GENE-040426-1709|-040426-1709
sa41722|ZDB-GENE-100514-5|-100514-5
sa41724|ZDB-GENE-060413-11|-060413-11
sa41727|ZDB-GENE-100519-3|-100519-3
sa41729|ZDB-GENE-060818-2|-060818-2
sa41734|ZDB-GENE-040704-42|-040704-42
sa41739|ZDB-GENE-090311-50|-090311-50
sa41745|ZDB-GENE-060421-6683|-060421-6683
sa41746|ZDB-GENE-050309-53|-050309-53
sa41747|ZDB-GENE-040426-1121|-040426-1121
sa41753|ZDB-GENE-070531-3|-070531-3
sa41757|ZDB-GENE-090521-1|-090521-1
sa41758|ZDB-GENE-101104-13|-101104-13
sa41761|ZDB-GENE-040426-1398|-040426-1398
sa41766|ZDB-GENE-030131-616|-030131-616
sa41771|ZDB-GENE-081205-5|-081205-5
sa41776|ZDB-GENE-040426-1652|-040426-1652
sa41781|ZDB-GENE-000607-49|-000607-49
sa41785|ZDB-GENE-040831-2|-040831-2
sa41795|ZDB-GENE-060616-122|-060616-122
